Municipio;Codice scuola;Tipo scuola;Natura giuridica;Tipologia;Nome scuola;Indirizzo;Telefono;Orario entrata/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Piccoli;Medi;Grandi;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
6;3875;NIDO;PRIVATO;Convenzione;GIOCAREDUCANDO;VIA SICULIANA 237;06/20627783;08:00 / 16:30;2;28;28;16;12;0;14;14;0;28;20;8
6;3983;NIDO;PRIVATO;Convenzione;GLI ORSETTI DEL CUORE;VIA ARAGONA 69;06/20977695;08:00 / 16:30;3;45;45;20;25;8;16;21;0;45;37;8
6;5797;NIDO;PRIVATO;Convenzione;GLI ORSETTI DEL CUORE 2;VIA ROCCA FIORITA 210;06/2012245;08:00 / 16:30;3;64;64;38;26;12;26;26;0;64;62;2
6;5627;NIDO;PRIVATO;Convenzione;GREEN GARDEN;VIA SICULIANA 188;06/2001094;08:00 / 16:30;2;21;21;8;13;0;11;10;0;21;13;8
6;5789;NIDO;PRIVATO;Convenzione;I COLORI DEL MONDO - VIA AVOLA;VIA AVOLA 119;06/22751329;08:00 / 16:30;3;82;82;45;37;16;36;30;0;82;71;11
6;3979;NIDO;PRIVATO;Convenzione;I COLORI DEL MONDO VIA ACERRA;VIA ACERRA 27;06/22424033;08:00 / 16:30;2;43;43;24;19;0;20;23;0;43;34;9
6;5671;NIDO;PRIVATO;Convenzione;I COLORI DEL MONDO VIA ROCCA D'EVANDRO;VIA ROCCA D'EVANDRO 22;06/22754146;08:00 / 16:30;2;46;46;30;16;0;21;25;0;46;30;16
6;3967;NIDO;COMUNALE;;I PRIMI PASSI;VIA MILLET ;06/20430090;08:00 / 16:30;3;66;66;33;33;12;27;27;0;66;58;8
6;5809;NIDO;PRIVATO;Convenzione;IL BOSCO DEI FOLLETTI;VIA GIUSEPPE MARIA MORETTI 38;06/2010669;08:00 / 16:30;3;15;15;8;7;4;5;6;0;15;12;3
6;5808;NIDO;PRIVATO;Convenzione;IL BOSCO DEI FOLLETTI DUE;VIA MONOPOLI 18;06/2008780;08:00 / 16:30;3;15;15;6;9;5;5;5;0;15;13;2
6;3219;NIDO;COMUNALE;;IL BRUCO;VIA TROINA 15;06/2050851;08:00 / 16:30;3;69;69;40;29;12;29;28;0;69;58;11
6;5550;NIDO;PRIVATO;Convenzione;IL CESTO DEI TESORI;VIA ROCCALUMERA 76;06/22446923;08:00 / 16:30;3;32;32;22;10;5;13;14;0;32;25;7
6;5794;NIDO;PRIVATO;Convenzione;IL PINGUINO;VIA GIACOMO FILIPPO PISONI 2;06/2253560;08:00 / 16:30;2;25;25;14;11;0;12;13;0;25;20;5
6;5672;NIDO;PRIVATO;Convenzione;LA BANDA BASSOTTI;VIA SANT'ELPIDIO A MARE 164;06/22403321;08:00 / 16:30;3;46;46;24;22;10;18;18;0;46;44;2
6;5839;NIDO;PRIVATO;Convenzione;LA CICALA E LA FORMICA;VIA CALABRITTO 14;06/2251796;08:00 / 16:30;3;30;30;19;11;7;9;14;0;30;26;4
6;3218;NIDO;COMUNALE;;L'ANATROCCOLO;VIA ACQUARONI 53;06/2008606;08:00 / 16:30;3;69;67;34;33;12;28;27;0;67;45;22
6;3215;NIDO;COMUNALE;;L'ARCA DI NOÈ;VIA RUGANTINO 99;06/260265;08:00 / 16:30;3;69;68;35;33;15;27;26;0;68;59;9
6;5670;NIDO;PRIVATO;Convenzione;LATTE E BISCOTTI;VIA ORICOLA 57;06/88920051;08:00 / 16:30;2;30;30;15;15;0;15;15;0;30;27;3
6;5720;NIDO;COMUNALE;;L'AVVENTURA DI CRESCERE;VIA LUCIANO CONTI 63;06/22450615;07:30 / 17:00;3;69;69;37;32;15;27;27;0;69;62;7
6;5577;NIDO;COMUNALE;;LE API LABORIOSE;VIA LUCIANO CONTI 63;06/22511179;08:00 / 16:30;2;55;55;35;20;0;28;27;0;55;52;3
6;5498;NIDO;COMUNALE;;LE NOSTRE ORME;VIA MICHELE DE MARCO 53;06/266994;08:00 / 16:30;3;58;57;32;25;12;25;20;0;57;43;14
6;5894;NIDO;COMUNALE;;OSCAR ROMERO;VIA OSCAR ARNULFO ROMERO ;366/5828407;08:00 / 16:30;3;52;52;29;23;12;20;20;0;52;40;12
6;5629;NIDO;PRIVATO;Convenzione;PICCOLO NIDO;VIA ATTEONE 134;06/2005915;08:00 / 16:30;3;22;22;7;15;6;8;8;0;22;16;6
7;3340;NIDO;COMUNALE;;ACCADEMIA DEI CUCCIOLI;VIA SERVILIA 22;06/79840085;08:00 / 16:30;3;69;65;41;24;16;26;23;0;65;53;12
7;5695;NIDO;PRIVATO;Convenzione;ANGHINGO';VIA APPIA NUOVA 889;/;08:00 / 16:30;3;45;45;27;18;10;21;14;0;45;44;1
7;3223;NIDO;COMUNALE;;AQUILONE;CIRCONVALLAZIONE APPIA 118;06/7843287;08:00 / 16:30;3;55;54;32;22;10;23;21;0;54;47;7
7;3222;NIDO;COMUNALE;;ARCOBALENO;VIA LUSITANIA 20;06/70496561;07:30 / 17:00;3;69;68;29;39;15;26;27;0;68;58;10
7;3884;NIDO;PRIVATO;Convenzione;BARNEPARK;VIA FALERIA 21;06/77208032 - 0677208;08:00 / 16:30;3;33;33;15;18;10;13;10;0;33;33;0
7;6445;NIDO;PRIVATO;Convenzione;BIMBI ALL'OPERA;VIA TUSCOLANA 1377;/;08:00 / 16:30;3;18;17;5;12;4;8;5;0;17;14;3
7;3740;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;COCCODILLO;VIA DELLA MOLARA ;06/76963371;08:00 / 13:00;2;15;15;7;8;0;8;7;0;15;11;4
7;3988;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;DOPO LA CICOGNA;VIA MARCO TABARRINI 16;06/78147725;07:30 / 18:00;4;30;23;13;10;0;13;10;0;23;17;6
7;3788;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;GERMOGLIO DI VITE;VIA MARCO DINO ROSSI 30;/;07:30 / 19:30;4;69;18;9;9;0;12;6;0;18;17;1
7;5613;NIDO;PRIVATO;Convenzione;GIANGIOCO;VIA S. ANTONIO MARIA GIANELLI 32;/;08:00 / 16:30;3;22;22;11;11;8;10;4;0;22;22;0
7;3224;NIDO;COMUNALE;;GIROMONDO;VIA S. DOMENICO SAVIO 25;06/78344236;08:00 / 16:30;3;69;69;39;30;14;29;26;0;69;61;8
7;3226;NIDO;COMUNALE;;GIROTONDO;VIA FERDINANDO UGHELLI 54;06/7842295;08:00 / 16:30;3;55;54;32;22;12;21;21;0;54;53;1
7;5642;NIDO;PRIVATO;Convenzione;I GIOCHI DELL'ARTE;VIA APPIA PIGNATELLI 381;/;08:00 / 16:30;3;38;36;19;17;11;12;13;0;36;32;4
7;3254;NIDO;COMUNALE;;I PICCOLI ARTISTI;VIA DELLA TENUTA DEL CASALOTTO ;06/79848102;07:30 / 17:00;3;83;74;37;37;16;32;26;0;74;64;10
7;3973;NIDO;PRIVATO;Convenzione;IL CAMPO DI FRAGOLE;VIA FRANCESCO ANTOLISEI 25;/;08:00 / 16:30;3;69;55;29;26;14;25;16;0;55;50;5
7;3895;NIDO;PRIVATO;Convenzione;IL CAMPO DI GIRASOLI;VIA ENRICO FERRI 8;/;08:00 / 16:30;3;60;59;34;25;10;25;24;0;59;57;2
7;3730;NIDO;PRIVATO;Convenzione;IL CAMPO DI GRANO;VIA FRANCESCO ANTOLISEI 19;/;08:00 / 16:30;3;48;41;20;21;9;21;11;0;41;32;9
7;3256;NIDO;COMUNALE;;IL CESTINO DEI TESORI;VIA FABRIZIO LUSCINO 57;06/76963496;08:00 / 16:30;3;82;79;42;37;15;34;30;0;79;74;5
7;3560;NIDO;COMUNALE;;IL GERMOGLIO VERDE;VIA GELA 22;06/7026608;08:00 / 16:30;2;36;36;25;11;0;18;18;0;36;31;5
7;5815;NIDO;COMUNALE;;IL GIARDINO DI SUSANNA;VIA FILIPPO SERAFINI ;06/7216167;08:00 / 16:30;2;53;53;27;26;0;26;27;0;53;47;6
7;3260;NIDO;COMUNALE;;IL MELOGRANO;VIA DEL QUADRARO ;06/76964716;08:00 / 16:30;3;46;44;21;23;12;17;15;0;44;42;2
7;3252;NIDO;COMUNALE;;IL TRENINO;VIA CARFIZZI 30;06/7185541;07:30 / 17:00;3;75;72;35;37;15;30;27;0;72;63;9
7;3522;NIDO;COMUNALE;;LA CHIOCCIOLA;VIA FARSALO 2;06/7004384;07:30 / 17:00;3;71;66;31;35;15;27;24;0;66;66;0
7;5725;NIDO;PRIVATO;Convenzione;LA CITTA' DEL SOLE;VIA DELLA TENUTA DEL CASALOTTO 54;/;08:00 / 16:30;2;28;26;16;10;0;12;14;0;26;24;2
7;3251;NIDO;COMUNALE;;LA MIMOSA;VIA SALVATORE BARZILAI 46;06/7235169;08:00 / 16:30;3;69;69;39;30;18;24;27;0;69;59;10
7;5724;NIDO;PRIVATO;Convenzione;LA PICCOLA TRIBU';VIA DI CASAL MORENA 142;/;08:00 / 16:30;2;30;28;17;11;0;13;15;0;28;25;3
7;3258;NIDO;COMUNALE;;LA TROTTOLA;VIA DEL QUADRARETTO 31;06/765611;07:30 / 17:00;3;69;65;28;37;15;23;27;0;65;52;13
7;3227;NIDO;COMUNALE;;L'ACCADEMIA DELLA BRICIOLA;VIA LUGNANO IN TEVERINA 57;06/7857984;08:00 / 16:30;3;69;69;29;40;17;26;26;0;69;66;3
7;3255;NIDO;COMUNALE;;L'ARCO;VIA IRSINA 31;06/7184477;08:00 / 16:30;3;69;46;16;30;11;22;13;0;46;44;2
7;3225;NIDO;COMUNALE;;LE MARIONETTE;VIA LICIA 10;06/70494652;08:00 / 16:30;2;55;53;24;29;0;27;26;0;53;50;3
7;5487;NIDO;PRIVATO;Convenzione;LUBA;VIA TOMMASO FORTIFIOCCA 11;06/78147421;08:00 / 16:30;3;28;28;17;11;12;11;5;0;28;28;0
7;5612;NIDO;PRIVATO;Convenzione;LUBA 2;VIA DEL VELODROMO 13;/;08:00 / 16:30;3;28;28;13;15;10;10;8;0;28;27;1
7;5630;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;LUCY MAY;VIA CARLO CIPOLLA 58;/;08:00 / 13:00;2;11;11;7;4;0;7;4;0;11;11;0
7;3965;NIDO;COMUNALE;;MELODILLA;VIA SANTE VANDI 1;06/98951739;07:30 / 17:00;3;69;68;36;32;18;33;17;0;68;61;7
7;3257;NIDO;COMUNALE;;MONDO FATATO;VIA CALPURNIO PISONE 41;06/71587195;07:30 / 17:00;3;69;67;36;31;18;24;25;0;67;61;6
7;5634;NIDO;PRIVATO;Progetto Finanziato;NIDI NEL VERDE - VIA A. BURRI - OST. CURATO;VIA ALBERTO BURRI 45;/;07:30 / 16:30;3;69;69;30;39;14;28;27;0;69;62;7
7;5635;NIDO;PRIVATO;Progetto Finanziato;NIDI NEL VERDE - VIA R. SALVATORI - ANAGNINA 2;VIA RENATO SALVATORI 89;/;07:30 / 16:30;3;69;69;33;36;16;26;27;0;69;67;2
7;5801;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;NOI CI DIVERTIAMO;VIA LATINA 120;06/64800856;08:00 / 19:00;4;28;13;7;6;0;4;9;0;13;11;2
7;6474;NIDO;PRIVATO;Convenzione;NOI CI DIVERTIAMO 2;VIA VOGHERA 35;346/1493339;08:00 / 16:30;3;19;19;14;5;7;6;6;0;19;19;0
7;3253;NIDO;COMUNALE;;PAN DI ZUCCHERO;VIA ARRIGO SOLMI 13;06/71586997;08:00 / 16:30;3;69;68;35;33;18;23;27;0;68;60;8
7;3729;NIDO;PRIVATO;Convenzione;PICCINO PICCIO';VIA MARCO DINO ROSSI 38;/;08:00 / 16:30;3;52;52;30;22;18;22;12;0;52;43;9
7;3221;NIDO;COMUNALE;;POLLICINO;VIA GIULIANELLO 25;06/76965379;07:30 / 17:00;3;80;80;42;38;15;32;33;0;80;73;7
7;3739;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;PRIMI INCONTRI;VIA DI VIGNA FABBRI 19;06/7853334;08:00 / 19:00;4;21;21;7;14;0;13;8;0;21;21;0
7;3228;NIDO;COMUNALE;;SCARABOCCHIO;VIA TARANTO 89;06/7012723;07:30 / 17:00;3;69;69;38;31;15;27;27;0;69;64;5
7;5586;NIDO;COMUNALE;;UNO, DUE, TRE... STELLA!;VIA LIBERO LEONARDI ;06/72901486;08:00 / 16:30;3;64;64;38;26;16;24;24;0;64;54;10
8;2629;NIDO;COMUNALE;;AQUILONE COLORATO;VIALE GIUSTINIANO IMPERATORE 147;06/59646140;08:00 / 16:30;3;69;67;32;35;16;25;26;0;67;61;6
8;3563;NIDO;COMUNALE;;C'ERA UNA VOLTA;VIALE ALDO BALLARIN 102;06/51962619;08:00 / 16:30;2;30;29;19;10;0;14;15;0;29;25;4
8;3993;NIDO;PRIVATO;Convenzione;CON GLI OCCHI DEI BAMBINI;VIA POMARICO 59;06/64522012;08:00 / 16:30;3;43;43;22;21;13;17;13;0;43;42;1
8;3701;NIDO;COMUNALE;;FIABE E COLORI;VIA DI GROTTA PERFETTA 607;06/51531174;08:00 / 16:30;3;69;68;30;38;16;24;28;0;68;63;5
8;2628;NIDO;COMUNALE;;IL BRUCO VERDE;VIA GIUSEPPE CERBARA 95;06/51882871;08:00 / 16:30;3;69;68;35;33;15;27;26;0;68;57;11
8;2630;NIDO;COMUNALE;;IL CHICCO DI GRANO;VIA DEI GRANAI DI NERVA 16;06/5038097;07:30 / 17:00;3;69;66;33;33;16;24;26;0;66;61;5
8;2627;NIDO;COMUNALE;;IL CILIEGIO ROSA;VIA DELL'ACCADEMIA ALDINA 30;06/54230906;08:00 / 16:30;3;82;79;44;35;18;36;25;0;79;68;11
8;3955;NIDO;PRIVATO;Aziendale;IL GIROTONDO - C/O INPDAP;VIALE ALDO BALLARIN 56;06/51018763;08:00 / 16:30;2;22;22;11;11;0;13;9;0;22;18;4
8;3760;NIDO;PRIVATO;Convenzione;IL MAPPAMONDO;VIA OSTIENSE 104;06/57289147;08:00 / 16:30;2;18;18;14;4;0;8;10;0;18;15;3
8;2633;NIDO;COMUNALE;;IL VILLAGGIO NEL BOSCO;VIA ANTONIO MANNUCCI 20;06/5115920;07:30 / 17:00;3;80;79;37;42;16;20;43;0;79;72;7
8;2634;NIDO;COMUNALE;;LA FILASTROCCA;VIA TARSO 35;06/5410019;08:00 / 16:30;3;82;15;7;8;0;14;1;0;15;14;1
8;2631;NIDO;COMUNALE;;LA GHIRONDA;VIA DELL'ACCADEMIA DEL CIMENTO 28;06/5110357;08:00 / 16:30;2;43;42;21;21;0;19;23;0;42;41;1
8;2632;NIDO;COMUNALE;;L'ACQUERELLO;VIA ANDREA MANTEGNA 130;06/5141245;07:30 / 17:00;3;69;68;33;35;15;26;27;0;68;61;7
8;2636;NIDO;COMUNALE;;L'ISOLA DI PETER PAN;VIA DELLA VILLA DI LUCINA SNC;06/5127789;08:00 / 16:30;3;66;65;31;34;15;24;26;0;65;60;5
8;3992;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;LUDOMAGICABU';VIA DEI LINCEI 93;06/51605173;08:00 / 13:00;2;14;12;6;6;0;4;8;0;12;12;0
8;5761;NIDO;PRIVATO;Aziendale;MARAMEO ASILO NIDO AZIENDALE C/O CTO;VIA S. NEMESIO 28;06/51003669;08:00 / 16:30;3;20;20;11;9;3;11;6;0;20;20;0
8;5669;NIDO;PRIVATO;Convenzione;MONTESSORI;VIA VIGGIANO 55;06/51962911;08:00 / 16:30;3;18;18;8;10;4;10;4;0;18;18;0
8;3758;NIDO;PRIVATO;Convenzione;NERINA NOE';VIA VIGGIANO 78;06/5037101;08:00 / 16:30;2;18;18;10;8;0;8;10;0;18;18;0
8;3756;NIDO;PRIVATO;Convenzione;ORSETTO BALOO;VIALE CARLO TOMMASO ODESCALCHI 67;06/51606140;08:00 / 16:30;3;23;21;14;7;5;11;5;0;21;17;4
8;5566;NIDO;COMUNALE;;PICCOLI MONELLI;VIA GIUSEPPE CASALINUOVO 1;06/59637240;08:00 / 16:30;3;69;67;35;32;16;25;26;0;67;63;4
8;2635;NIDO;COMUNALE;;PICCOLO GIRASOLE;VIA TULLIO LEVI CIVITA 20;06/5594502;08:00 / 16:30;3;52;52;27;25;10;24;18;0;52;48;4
9;3295;NIDO;COMUNALE;;ALLEGRA ARCA DI NOE';VIA DELLA DIVISIONE TORINO 157;06/95951215;07:30 / 17:00;3;69;64;34;30;16;27;21;0;64;57;7
9;3876;NIDO;PRIVATO;Aziendale;AMA CATERINETTA;VIA GIAN PIETRO LUCINI 16;06/50513827;08:00 / 16:30;3;50;41;19;22;6;19;16;0;41;30;11
9;3998;NIDO;COMUNALE;;BACCHETTA MAGICA;VIA ETTORE JANNI ;06/95951238;07:30 / 17:00;3;60;58;35;23;14;21;23;0;58;51;7
9;3878;NIDO;PRIVATO;Convenzione;BIMBI ALLEGRI;VIA MARCELLO GAROSI 65;06/45476261;08:00 / 16:30;3;28;28;15;13;4;13;11;0;28;28;0
9;6427;NIDO;PRIVATO;Concessione;CALIMERO;LARGO AMALIA CAMBONI 8;06/52831030;08:00 / 16:30;3;136;134;76;58;36;55;43;0;134;131;3
9;3918;NIDO;PRIVATO;Aziendale;CASA DEL CILIEGIO - UNICREDIT SPA;VIALE UMBERTO TUPINI 180;06/87839730;08:00 / 16:30;3;9;9;7;2;0;2;7;0;9;9;0
9;3798;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;CINQUE LIBERA TUTTI;VIA LAURENTINA 748;06/5004034;08:00 / 13:00;2;28;17;9;8;0;9;8;0;17;13;4
9;6421;NIDO;PRIVATO;Concessione;DOLCI SORRISI;VIA ILDEBRANDO VIVANTI 81;/;08:00 / 16:30;3;66;66;32;34;17;27;22;0;66;64;2
9;5709;NIDO;PRIVATO;Convenzione;FIABA;VIA MARCELLO GAROSI 23;06/5072660;08:00 / 16:30;3;35;35;21;14;10;15;10;0;35;35;0
9;4002;NIDO;PRIVATO;Convenzione;FIABA...CONTINUA;VIA MAROCCO 30;06/5915589;08:00 / 16:30;3;45;45;22;23;11;20;14;0;45;45;0
9;3482;NIDO;COMUNALE;;GIARDINO D'EUROPA - NIDO;VIALE CITTA' D'EUROPA 345;06/95951220;08:00 / 17:00;3;69;64;29;35;19;25;20;0;64;62;2
9;4000;NIDO;PRIVATO;Convenzione;I GIARDINI DI ZEUS - EUR;VIA GIUSEPPE ARMELLINI 35;06/5034511;08:00 / 16:30;3;69;58;23;35;11;35;12;0;58;54;4
9;6217;NIDO;PRIVATO;Aziendale;I NOSTRI PICCOLI SORRISI- I.N.P.S.;VIALE DELLA CIVILTA' DEL LAVORO 71;06/59054545;08:00 / 16:30;3;8;8;2;6;2;3;3;0;8;8;0
9;5757;NIDO;PRIVATO;Aziendale;ISOLA CHE NON C'E' - S.EUGENIO;PIAZZALE DELL'UMANESIMO 10;06/51002525;08:00 / 16:30;3;20;19;12;7;3;8;8;0;19;19;0
9;3919;NIDO;PRIVATO;Convenzione;MONDO DI BIMBI;VIA VITALIANO BRANCATI 20;06/5003336;08:00 / 16:30;3;28;28;10;18;6;10;12;0;28;28;0
9;3978;NIDO;PRIVATO;Aziendale;NASO ALL' INSU' - INAIL;PIAZZALE GIULIO PASTORE ;06/54873437;08:00 / 16:30;3;9;8;4;4;3;5;0;0;8;7;1
9;5810;NIDO;PRIVATO;Convenzione;NATI OGGI;VIA VICO CONSORTI ;06/52831789;08:00 / 16:30;3;26;26;16;10;6;11;9;0;26;26;0
9;3299;NIDO;COMUNALE;;OCEANO;VIALE EGEO 130;06/95951219;08:00 / 16:30;3;69;61;32;29;16;29;16;0;61;51;10
9;3294;NIDO;COMUNALE;;ORSETTO GOLOSO;VIA BEPPE FENOGLIO 20;06/95951214;07:30 / 17:00;3;69;67;26;41;18;23;26;0;67;59;8
9;3797;NIDO;PRIVATO;Convenzione;PAPAGENO;VIA VITALIANO BRUNELLI 5;06/50524376;08:00 / 16:30;3;48;38;18;20;10;19;9;0;38;37;1
9;3297;NIDO;COMUNALE;;PAPERO GIALLO;VIA FIUME GIALLO 390;06/95951217;08:00 / 16:30;3;69;64;34;30;19;26;19;0;64;60;4
9;3795;NIDO;PRIVATO;Convenzione;PAPEROPOLI;VIA GIACOMO DINA 11;06/5060527;08:00 / 16:30;3;17;17;10;7;5;6;6;0;17;17;0
9;5654;NIDO;PRIVATO;Aziendale;POSTE BIMBI;VIALE EUROPA 175;06/59587433;08:00 / 16:30;3;10;10;4;6;0;5;5;0;10;10;0
9;5744;NIDO;PRIVATO;Aziendale;PUFFI E PUPE - MIN.INFRASTRUTTURE;VIALE DELL'ARTE 16;06/59648174;08:00 / 16:30;3;5;5;2;3;0;3;2;0;5;4;1
9;3296;NIDO;COMUNALE;;PULCINO BALLERINO;VIA MATTEO BARTOLI 72;06/95951216;08:00 / 16:30;3;69;68;32;36;15;27;26;0;68;63;5
9;3293;NIDO;COMUNALE;;RICCIO CAPRICCIO;VIA GIUSEPPE MAROTTA 35;06/95951213;08:00 / 16:30;3;69;62;35;27;14;24;24;0;62;47;15
9;3877;NIDO;PRIVATO;Convenzione;SIRIO;VIA MICHELE SAPONARO 10;06/5012638;08:00 / 16:30;3;66;66;33;33;17;28;21;0;66;63;3
9;5788;NIDO;PRIVATO;Aziendale;SORELLA M.C.LUINETTI - MIN.DIFESA;VIA DEI FUCILIERI 1;06/517051782;08:00 / 16:30;3;8;8;4;4;3;2;3;0;8;8;0
9;3838;NIDO;COMUNALE;;SORGENTE;VIA BRUNO DE FINETTI 170;06/95951236;08:00 / 16:30;3;65;64;38;26;12;25;27;0;64;62;2
9;3997;NIDO;COMUNALE;;TAPPETO VOLANTE;VIA VINICIO CORTESE 155;06/95951237;08:00 / 16:30;3;60;57;30;27;15;24;18;0;57;54;3
9;3298;NIDO;COMUNALE;;TENERO GERMOGLIO;VIA ORAZIO CONSOLE 35;06/95951218;07:30 / 17:00;3;48;47;24;23;7;21;19;0;47;44;3
10;3275;NIDO;COMUNALE;;ACQUAMARINA;VIA TAGASTE 10;06/5611062;07:30 / 17:00;3;69;69;41;28;15;27;27;0;69;62;7
10;5800;NIDO;PRIVATO;Convenzione;BABY GARDEN DI LUCILLA;VIA GIUSEPPE ZAMBONARDI 61;06/56350611;08:00 / 16:30;1;14;14;9;5;0;14;0;0;14;14;0
10;3773;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;BABY SCHOOL . IT;VIA RODOLFO GRIMALDI CASTA 14;06/5600353;08:00 / 19:00;4;58;37;27;10;0;19;18;0;37;26;11
10;3768;NIDO;PRIVATO;Convenzione;C'ERA DUE VOLTE;VIA DI SAPONARA 37;/3485482876;08:00 / 16:30;2;21;15;5;10;0;7;8;0;15;10;5
10;3274;NIDO;COMUNALE;;CORALLI;VIA MAR DEI CORALLI ;06/5681914;08:00 / 16:30;3;53;53;27;26;11;18;24;0;53;50;3
10;6448;NIDO;PRIVATO;Convenzione;COSIPERGIOCO;VIA DI MACCHIA SAPONARA 249;06/50910907;08:00 / 16:30;3;62;62;27;35;14;24;24;0;62;57;5
10;5663;NIDO;PRIVATO;Convenzione;CRESCERE INSIEME;VIA DI MACCHIA SAPONARA 249;06/50910907;08:00 / 16:30;3;83;83;37;46;23;35;25;0;83;80;3
10;5778;NIDO;PRIVATO;Convenzione;DIRE FARE GIOCARE;VIA DI PIANA BELLA 30;06/5651583;08:00 / 16:30;3;51;51;28;23;13;21;17;0;51;49;2
10;5780;NIDO;PRIVATO;Convenzione;GIOCANDO SI IMPARA;VIA FRANCESCO ORIOLI 48;06/5651847;08:00 / 16:30;3;59;59;33;26;14;22;23;0;59;56;3
10;3892;NIDO;PRIVATO;Convenzione;GIOCHI E COCCOLE;VIA ERNESTO BOEZI 102;06/50911231;08:00 / 16:30;3;37;33;17;16;8;12;13;0;33;22;11
10;5649;NIDO;PRIVATO;Convenzione;GIOCHI E FIABE;VIA DEI PALOMBARI 16;06/56304028;08:00 / 16:30;2;14;14;7;7;0;6;8;0;14;13;1
10;5781;NIDO;PRIVATO;Convenzione;GIOCO CON TE;VIA GIUSEPPE FIORELLI 31;06/83606927;08:00 / 16:30;3;33;33;18;15;7;17;9;0;33;31;2
10;3271;NIDO;COMUNALE;;GIRASOLI;VIA DOMENICO MORELLI 9;06/52369238;08:00 / 16:30;3;69;65;41;24;14;25;26;0;65;55;10
10;5796;NIDO;PRIVATO;Convenzione;GLI AMICI DI PIPPO;VIA ALESSANDRO CAPALTI 35;06/64003610;08:00 / 16:30;2;22;19;7;12;0;9;10;0;19;14;5
10;3743;NIDO;COMUNALE;;GLI ULIVI;VIA GIOVANNI BATTISTA DA PESARO 7;06/52310853;08:00 / 16:30;3;69;64;30;34;15;24;25;0;64;53;11
10;5703;NIDO;PRIVATO;Convenzione;GRANDI DENTRO;VIA GUIDO CANTELLI 16;06/5090897;08:00 / 16:30;3;33;32;8;24;7;12;13;0;32;27;5
10;6446;NIDO;PRIVATO;Convenzione;IL BIANCONIGLIO;VIA ANTERIVO 31;06/64532646;08:00 / 16:30;3;21;21;10;11;9;10;2;0;21;21;0
10;5647;NIDO;PRIVATO;Convenzione;IL CASALE DEI PICCOLI;VIA DOMENICO PURIFICATO 441;06/83768130;08:00 / 16:30;3;32;32;19;13;9;12;11;0;32;31;1
10;3277;NIDO;COMUNALE;;IL CAVALLUCCIO MARINO;VIA LUIGI BORSARI 36;06/5600652;08:00 / 16:30;3;69;69;40;29;16;23;30;0;69;62;7
10;5799;NIDO;PRIVATO;Convenzione;IL CENTRO DELLE COCCOLE;VIA PADRE VITALE 75;06/59290324;08:00 / 16:30;2;26;18;11;7;0;9;9;0;18;16;2
10;5702;NIDO;PRIVATO;Convenzione;IL COLIBRI';VIA ARCANGELO LAMBERTI 8;06/52169767;08:00 / 16:30;2;25;21;9;12;0;11;10;0;21;19;2
10;3770;NIDO;PRIVATO;Convenzione;IL GIARDINO DEI BIMBI;VIA MARTINO MARTINI 32;06/5210082;08:00 / 16:30;2;33;32;20;12;0;12;20;0;32;27;5
10;4026;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;IL GIARDINO DEI BIMBI DUE -SPAZIO BE.BI;VIA CAPO PALINURO 18;06/45478092;08:00 / 19:30;4;32;32;13;19;0;10;22;0;32;30;2
